City ID,City,Country,Lat,Lng,Temperature,Humidity,Clouds,Wind Speed
3366880,Hermanus,ZA,-34.42,19.23,66.0,58,46,4.0
6170031,Tuktoyaktuk,CA,69.45,-133.04,23.0,85,90,8.05
7601762,Bairiki Village,KI,1.33,172.98,82.4,83,20,4.7
2206939,Bluff,NZ,-46.6,168.33,47.08,89,45,8.57
2160517,Launceston,AU,-41.45,147.17,44.67,93,13,8.05
1283285,Jumla,NP,29.27,82.18,55.15,46,0,2.75
2449893,Tessalit,ML,20.2,1.01,106.47,7,55,11.21
3451138,Rio Grande,BR,-32.03,-52.1,72.14,40,0,11.41
964420,Port Elizabeth,ZA,-33.92,25.57,64.4,55,75,8.05
3899695,Ancud,CL,-41.87,-73.82,57.06,82,75,9.17
5924351,Clyde River,CA,70.47,-68.59,19.4,100,90,3.36
1047660,Cuamba,MZ,-14.8,36.54,72.54,36,0,6.4
3874787,Punta Arenas,CL,-53.15,-70.92,39.09,93,75,5.82
5122534,Jamestown,US,42.1,-79.24,56.32,93,75,4.7
1282256,Hithadhoo,MV,-0.6,73.08,85.39,76,95,18.59
3985710,Cabo San Lucas,MX,22.89,-109.91,74.3,43,5,7.72
3466165,Cidreira,BR,-30.18,-50.21,66.11,51,0,14.09
1488903,Turukhansk,RU,65.82,87.98,43.45,89,100,16.89
6111862,Port Hardy,CA,50.7,-127.42,53.6,81,90,16.11
5855927,Hilo,US,19.73,-155.09,67.6,68,90,3.36
3438102,Fuerte Olimpo,PY,-21.04,-57.87,80.19,31,0,1.41
1507390,Dikson,RU,73.51,80.55,29.35,97,87,11.21
6185377,Yellowknife,CA,62.46,-114.35,28.4,63,75,16.11
3665202,Aripuanã,BR,-9.17,-60.63,85.05,64,44,4.0
2123836,Lazarev,RU,52.23,141.51,33.08,98,100,14.12
2318921,Wukari,NG,7.85,9.78,94.87,47,65,7.92
3516171,Barra de Tecoanapa,MX,16.52,-98.75,86.88,50,0,3.71
2025630,Chara,RU,56.91,118.26,41.59,81,100,2.55
3652764,Puerto Ayora,EC,-0.74,-90.35,78.3,74,20,8.05
1862352,Hitoyoshi,JP,32.22,130.75,69.01,100,100,5.01
3416888,Grindavik,IS,63.84,-22.43,46.4,42,0,14.99
2063039,Port Keats,AU,-14.25,129.55,81.25,50,100,6.64
1275050,Burla,IN,21.5,83.87,94.37,25,60,4.0
4034188,Moerai,PF,-22.43,-151.33,80.13,83,49,18.37
2063523,Perth,AU,-31.93,115.83,60.26,72,58,9.17
1562414,Vung Tau,VN,10.35,107.08,83.82,77,90,10.76
3424607,Tasiilaq,GL,65.61,-37.64,39.2,60,20,12.75
4030556,Rikitea,PF,-23.12,-134.97,75.56,86,100,17.29
3374083,Bathsheba,BB,13.22,-59.52,86.0,66,75,21.92
3430863,Mar del Plata,AR,-38.0,-57.56,73.4,46,0,12.75
2270385,Camacha,PT,33.08,-16.33,66.2,52,75,11.41
3407762,Amapá,BR,1.0,-52.0,82.22,87,83,3.87
1485286,Zelenoborsk,RU,61.47,64.03,56.34,38,88,2.53
2255564,Ouésso,CG,1.61,16.05,86.99,60,96,1.41
3831208,Qaanaaq,GL,77.48,-69.36,30.81,93,0,1.83
2264923,Peniche,PT,39.36,-9.38,70.34,64,2,8.01
2155415,New Norfolk,AU,-42.78,147.06,46.87,83,19,3.8
2110227,Butaritari,KI,3.07,172.79,83.34,74,18,10.33
2134814,Sola,VU,-13.88,167.55,80.58,81,100,18.61
3833367,Ushuaia,AR,-54.8,-68.3,39.2,93,75,4.7
4047434,Russell,US,32.35,-85.2,74.97,64,1,5.82
5063646,Beatrice,US,40.27,-96.75,63.9,77,90,6.93
240210,Birao,CF,10.28,22.79,99.01,27,5,2.77
3466704,Castro,BR,-24.79,-50.01,66.72,49,0,6.13
4032243,Vaini,TO,-21.2,-175.2,66.2,93,40,3.36
3372707,Ribeira Grande,PT,38.52,-28.7,64.4,93,75,12.75
5870133,Nome,US,64.5,-165.41,48.67,53,90,3.69
4020109,Atuona,PF,-9.8,-139.03,80.46,74,1,14.09
5106841,Albany,US,42.6,-73.97,65.1,56,12,1.99
2112309,Katsuura,JP,35.13,140.3,65.21,94,75,3.36
53157,Qandala,SO,11.47,49.87,90.09,51,0,3.29
5866583,Saint Paul Harbor,US,57.79,-152.41,46.4,87,90,3.36
1636022,Martapura,ID,-3.42,114.85,77.97,93,100,2.51
2123814,Leningradskiy,RU,69.38,178.42,22.15,97,48,2.66
935215,Saint-Philippe,RE,-21.36,55.77,72.27,78,90,6.93
942511,Vryburg,ZA,-26.96,24.73,70.2,24,0,1.23
986717,Kruisfontein,ZA,-34.0,24.73,58.06,69,95,3.53
3471451,Arraial do Cabo,BR,-22.97,-42.03,75.2,73,40,9.17
2013465,Verkhoyansk,RU,67.54,133.38,39.56,82,100,4.09
3380290,Sinnamary,GF,5.38,-52.95,81.34,85,98,10.36
2122605,Okhotsk,RU,59.38,143.3,36.91,84,95,7.4
4035715,Avarua,CK,-21.21,-159.78,77.0,78,40,14.99
1649150,Bengkulu,ID,-3.8,102.27,79.32,84,87,3.78
189741,Lamu,KE,-2.27,40.9,80.11,79,3,15.1
3355672,Lüderitz,NA,-26.65,15.16,84.2,32,0,8.05
2016735,Sherlovaya Gora,RU,50.57,116.25,48.06,93,100,7.14
1006984,East London,ZA,-33.02,27.91,66.2,55,21,6.93
2082539,Merauke,ID,-8.47,140.33,78.58,82,6,18.1
3440777,Rocha,UY,-34.48,-54.33,70.23,55,0,13.73
1505466,Isetskoye,RU,56.49,65.32,58.93,69,63,6.82
2163355,Hobart,AU,-42.88,147.33,49.37,66,5,10.29
2122090,Pevek,RU,69.7,170.31,26.89,90,0,4.85
6165406,Thompson,CA,55.74,-97.86,44.6,45,75,11.41
4301317,Morehead,US,37.27,-87.18,73.63,78,75,8.57
1785036,Zhangye,CN,38.93,100.45,68.94,21,0,2.55
3369157,Cape Town,ZA,-33.93,18.42,65.44,45,35,6.93
4465088,Elizabeth City,US,36.29,-76.25,77.76,61,1,11.41
2012530,Zhigansk,RU,66.77,123.37,39.4,88,28,8.28
5848280,Kapaa,US,22.08,-159.32,70.88,88,40,11.41
5367788,Lompoc,US,34.64,-120.46,55.44,87,1,6.93
3449340,São Borja,BR,-28.66,-56.0,66.27,47,0,5.64
2455456,kimparana,ML,12.83,-4.92,103.95,20,100,4.27
2075265,Busselton,AU,-33.65,115.33,49.06,50,24,8.32
1528998,Yumen,CN,40.28,97.2,73.18,17,0,9.08
5880054,Barrow,US,71.29,-156.79,24.8,79,90,10.29
1513491,Yangi Marg`ilon,UZ,40.43,71.72,62.6,67,100,6.93
4034496,Fare,PF,-16.7,-151.02,82.62,75,22,8.81
2094027,Kieta,PG,-6.22,155.63,80.04,79,26,2.71
2348595,Azare,NG,11.68,10.19,104.83,17,19,4.9
1488933,Turinsk,RU,58.05,63.7,55.56,80,89,6.24
174448,Abu Kamal,SY,34.45,40.92,99.5,12,0,9.93
8079926,Labuhan,ID,-6.88,112.21,79.92,87,100,7.61
3372964,Lagoa,PT,39.05,-27.98,65.32,86,97,16.89
3397763,Jacareacanga,BR,-6.22,-57.75,89.08,57,90,3.83
1516589,Zhezkazgan,KZ,47.8,67.71,64.69,52,40,3.51
245338,Am Timan,TD,11.03,20.28,104.83,16,39,5.23
934322,Mahébourg,MU,-20.41,57.7,77.0,78,20,6.4
2077895,Alice Springs,AU,-23.7,133.88,48.2,49,0,4.7
2644210,Liverpool,GB,53.41,-2.98,58.55,44,20,14.99
6201424,Mataura,NZ,-46.19,168.86,39.16,90,19,1.99
1510131,Beya,RU,53.05,90.91,59.43,64,99,7.49
964432,Port Alfred,ZA,-33.59,26.89,64.0,77,26,1.01
2400547,Gamba,GA,-2.65,10.0,84.18,75,27,10.49
2022572,Khatanga,RU,71.97,102.5,32.56,96,53,10.94
3458266,Macaé,BR,-22.37,-41.79,75.2,73,40,9.17
4231997,Avera,US,33.19,-82.53,75.42,65,40,6.93
5557293,Sitka,US,57.05,-135.33,46.4,87,20,2.64
2017155,Saskylakh,RU,71.92,114.08,33.37,95,100,2.84
1168700,Ormara,PK,25.21,64.64,82.63,74,0,15.66
162158,Baharly,TM,38.44,57.43,81.82,22,35,4.85
1619423,Bang Lamung,TH,13.05,100.93,88.97,66,20,10.29
3445026,Vila Velha,BR,-20.33,-40.29,71.29,83,90,3.36
1708743,Kinablangan,PH,7.69,126.55,80.64,80,100,1.32
3939761,Hualmay,PE,-11.1,-77.61,69.37,70,9,7.29
4149635,Callaway,US,30.15,-85.57,79.45,73,1,12.75
2180815,Tuatapere,NZ,-46.13,167.68,44.28,87,1,3.36
3374210,São Filipe,CV,14.9,-24.5,74.64,73,48,9.6
123941,Mīnāb,IR,27.15,57.08,93.2,49,20,6.93
2171099,Codrington,AU,-38.27,141.97,44.08,75,10,6.22
4036284,Alofi,NU,-19.06,-169.92,77.0,78,92,8.05
3172394,Naples,IT,40.83,14.25,89.53,29,100,11.41
2264557,Ponta do Sol,PT,32.67,-17.1,64.69,48,40,5.82
5911745,Burns Lake,CA,54.23,-125.75,49.28,61,100,2.35
3385658,Uruçuí,BR,-7.23,-44.56,88.25,51,94,7.9
